name,class,scientific_axioms,all_axioms
RGFlow.C_mono_pos,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.Ioc_mem_nhdsWithin_Ioi_zero,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.asymptotic_consistent_with_lipschitz,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.beta_negativity,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.beta,Classical.choice;Quot.sound;RGFlow.beta;propext
RGFlow.bound_from_monotonicity_concept,FOUNDATION_ONLY,,
RGFlow.bound_preservation,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.c2_is_negative,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.c2_negative_axiom,Classical.choice;Quot.sound;RGFlow.c2_negative_axiom;propext
RGFlow.complete_characterization,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_lipschitz_in_g;RGFlow.continuum_monotonic_in_g,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.Delta0_at_gmax;RGFlow.Delta0_at_gmin;RGFlow.continuum_lipschitz_in_g;RGFlow.continuum_monotonic_in_g;propext
RGFlow.continuum_complete_picture,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation;RGFlow.mass_gap_lower_bound_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation;RGFlow.mass_gap_lower_bound_continuum;propext
RGFlow.continuum_diff_eq_zero,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0,Classical.choice;Quot.sound;RGFlow.Delta0;propext
RGFlow.continuum_gap_diff_nonneg,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_monotonic_in_g;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_monotonic_in_g;RGFlow.mass_gap_tendsto_continuum;propext
RGFlow.continuum_gap_injective,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation;propext
RGFlow.continuum_gap_positive,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0_positive_axiom,Classical.choice;Quot.sound;RGFlow.Delta0_positive_axiom;propext
RGFlow.continuum_gap_positive_and_lipschitz,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_lower_bound_continuum;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_lower_bound_continuum;RGFlow.mass_gap_tendsto_continuum;propext
RGFlow.continuum_gap_quantitative_bound,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation;propext
RGFlow.continuum_gap_strictly_decreasing,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.continuum_gap_quantitative_separation;propext
RGFlow.continuum_gap_well_defined,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
